I Be's Troubled	song	1940	date
Win The War Blues	song	1940	date
Streamline Woman	song	1940	date
Ramblin' Kid Blues (version 1)	song	1940	date
Mean Red Spider	song	1940	date
I Can't Be Satisfied	song	1940	date
You Upset Me Baby	song	1950	date
You Gonna Wreck My Life	song	1950	date
You Can't Be Beat	song	1950	date
Work For Your Money	song	1950	date
Wobblin' Baby	song	1950	date
Why I Sing The Blues	song	1950	date
Who Will Be Next	song	1950	date
Who Do You Love	song	1950	date
They Call Me Muddy Waters	song	1950	date
Sweet Home Chicago	song	1950	date
Sometimes	song	1950	date
Sittin' On Top Of The World	song	1950	date
She's Dynamite	song	1950	date
She's Alright	song	1950	date
Say Man	song	1950	date
Rockin' Daddy	song	1950	date
Rock Me Baby	song	1950	date
Recession Blues	song	1950	date
Pretty Thing (version 2)	song	1950	date
Pretty Thing (version 1)	song	1950	date
Please Love Me	song	1950	date
Oh Red! (Take 2)	song	1950	date
Next Time You See Me	song	1950	date
Nature	song	1950	date
Natchez Burning	song	1950	date
My Last Affair (Take 1)	song	1950	date
My Baby Walked Off	song	1950	date
Mr. Airplane Man	song	1950	date
Mother-In-law Blues	song	1950	date
Mean Mistreater	song	1950	date
Maudie (Version 1)	song	1950	date
Louisiana Blues	song	1950	date
Lonesome Road Blues	song	1950	date
Little Wheel	song	1950	date
Just My Kind	song	1950	date
I've Been Abused	song	1950	date
(I'm Your)Hoochie Coochie Man	song	1950	date
I'm The Wolf	song	1950	date
I'm Sorry	song	1950	date
I'm Looking For AWoman	song	1950	date
I'mIn The Mood (Version 1)	song	1950	date
I'm A Man	song	1950	date
I'll Be Around	song	1950	date
I Just Want To Make Love To You	song	1950	date
I Didn't Know	song	1950	date
Hush Your Mouth	song	1950	date
How Can You Do It?	song	1950	date
Honey Bee	song	1950	date
Hobo Blues	song	1950	date
Hey, Bo Diddley	song	1950	date
Good Mornin' Lil' School Girl	song	1950	date
Everyday I Have The Blues (Version 1)	song	1950	date
Down At The Landing	song	1950	date
Dorothy Mae	song	1950	date
